epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,246.657,0.91881,2.19633,5.54239,0.01587,3.38085,0.00333,1,0.74814,0.54541,0.00333,1,0.75224,0.54892,0.69,1.07772,6.1217,0.02277,0,0.00065873,0.00065873,0.00065873
2,482.594,0.92547,1.15832,3.76127,0.01559,2.33354,0.79464,0.63828,0.7989,0.52482,0.79464,0.63828,0.7989,0.6233,0.92203,0.75903,3.84015,0.03139,0,0.00129915,0.00129915,0.00129915
3,714.871,1.05339,1.11074,2.73054,0.01818,2.10552,0.78935,0.81129,0.8737,0.56939,0.78935,0.81129,0.8737,0.67317,1.16126,0.7836,2.46509,0.04206,0,0.00191318,0.00191318,0.00191318
4,946.366,1.02686,1.06472,2.01051,0.01753,1.9202,0.87804,0.85567,0.94383,0.68585,0.87804,0.85567,0.94642,0.77139,1.09104,0.81153,1.56453,0.03978,0,0.0018812,0.0018812,0.0018812
5,1174.49,0.98443,1.05474,1.59382,0.01733,1.91876,0.92656,0.8866,0.97356,0.72398,0.92656,0.8866,0.97356,0.79181,0.96661,0.84834,1.06432,0.03336,0,0.0018416,0.0018416,0.0018416
6,1406.34,0.95549,1.01121,1.34348,0.0158,1.88658,0.92298,0.84536,0.95712,0.75136,0.92298,0.84536,0.95899,0.81978,0.83497,0.72001,0.8991,0.03,0,0.001802,0.001802,0.001802
7,1633.66,0.99602,0.99995,1.17705,0.01665,1.89653,0.92,0.94843,0.98082,0.65625,0.9229,0.94845,0.9813,0.81915,1.29238,0.5629,0.79876,0.04706,0,0.0017624,0.0017624,0.0017624
8,1861.92,0.97815,0.96442,1.12989,0.01708,1.87507,0.92027,0.95194,0.97185,0.71585,0.91035,0.94215,0.96571,0.77424,1.02534,0.66893,0.72212,0.03651,0,0.0017228,0.0017228,0.0017228
9,2093.17,0.84811,0.89382,0.9639,0.01437,1.83523,0.94293,0.92784,0.97558,0.71188,0.8581,0.84536,0.84041,0.7415,0.99782,0.56468,0.63211,0.03525,0,0.0016832,0.0016832,0.0016832
10,2319.19,0.85051,0.89903,0.90756,0.01342,1.83016,0.94925,0.96427,0.98888,0.79246,0.94925,0.96427,0.98888,0.85196,0.82695,0.55667,0.50257,0.02968,0,0.0016436,0.0016436,0.0016436
11,2551.32,0.8383,0.86361,0.83206,0.01398,1.70251,0.93374,0.93814,0.96411,0.75263,0.92317,0.92784,0.95242,0.80874,0.82184,0.64178,0.60108,0.02906,0,0.001604,0.001604,0.001604
12,2769.92,0.89489,0.86182,0.8551,0.0148,1.82598,0.95641,0.90488,0.97151,0.83175,0.97715,0.88179,0.96674,0.84612,0.65674,0.67219,0.56248,0.02236,0,0.0015644,0.0015644,0.0015644
13,2981.01,0.81027,0.82976,0.82952,0.01318,1.69332,0.95297,0.93814,0.98806,0.70094,0.942,0.92784,0.96918,0.86422,1.13557,0.6716,0.50493,0.04064,0,0.0015248,0.0015248,0.0015248
14,3197.92,0.81647,0.82451,0.79065,0.01324,1.64154,0.99598,0.95876,0.99239,0.82126,0.97456,0.93814,0.95035,0.82044,0.66109,0.63038,0.35908,0.02273,0,0.0014852,0.0014852,0.0014852
15,3413.65,0.8192,0.81437,0.81755,0.01333,1.78687,0.97205,0.91753,0.98451,0.81269,0.97205,0.91753,0.98451,0.83433,0.76885,0.56187,0.39126,0.02623,0,0.0014456,0.0014456,0.0014456
16,3640.44,0.7762,0.77389,0.7626,0.01217,1.80022,0.97797,0.91539,0.98178,0.81364,0.87,0.82474,0.86757,0.77981,0.65765,0.57344,0.39261,0.02322,0,0.001406,0.001406,0.001406
17,4399.7,0.72691,0.76935,0.70357,0.01122,1.5811,0.9562,0.90028,0.97373,0.82135,0.93864,0.91753,0.97242,0.86476,0.74084,0.66013,0.46696,0.02552,0,0.0013664,0.0013664,0.0013664
18,4687.98,0.79088,0.7674,0.79009,0.01289,1.7097,0.96794,0.9337,0.98199,0.83225,0.96794,0.9337,0.98199,0.85666,0.65728,0.58191,0.40663,0.02261,0,0.0013268,0.0013268,0.0013268
19,4972.39,0.68355,0.71128,0.70454,0.01089,1.74409,0.94288,0.96907,0.98751,0.85544,0.94288,0.96907,0.98751,0.89387,0.64728,0.52741,0.39859,0.02172,0,0.0012872,0.0012872,0.0012872
20,5250.08,0.67324,0.76216,0.68662,0.01007,1.65725,0.89326,0.94901,0.96799,0.8199,0.89326,0.94901,0.96799,0.85388,0.65729,0.56244,0.44294,0.02227,0,0.0012476,0.0012476,0.0012476
