epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,93.534,1.39307,2.09186,2.24999,1.76895,0,0.00015,0.02062,0.00011,2e-05,0,0,0,0,nan,nan,nan,nan,0,0.000662675,0.000662675,0.000662675
2,161.511,1.92975,2.62196,2.53782,2.17919,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00130302,0.00130302,0.00130302
3,228.341,1.89338,2.80673,2.36849,2.07539,0,0.37926,0.40206,0.27875,0.10103,0.4085,0.42268,0.31713,0.10411,nan,nan,nan,nan,0,0.00191697,0.00191697,0.00191697
4,295.908,1.76225,2.68785,2.18281,1.99705,0,0.3435,0.60825,0.41335,0.15771,0.3779,0.68263,0.47652,0.17432,1.70825,2.113,5.43628,2.33467,0,0.0018812,0.0018812,0.0018812
5,360.521,1.64912,2.43729,1.9763,1.86932,0,0.80738,0.63918,0.76806,0.40364,0.80738,0.63918,0.76814,0.38782,1.45642,1.97934,1.72367,1.87984,0,0.0018416,0.0018416,0.0018416
6,559.97,1.47894,2.3191,1.70037,1.73666,0,0.85424,0.72504,0.86906,0.48732,0.85424,0.72504,0.86906,0.48986,1.35978,1.78603,1.92947,1.72508,0,0.001802,0.001802,0.001802
7,621.255,1.40466,2.17957,1.62444,1.68659,0,0.80543,0.76818,0.86893,0.50699,0.80543,0.76818,0.86259,0.48444,1.23095,1.91279,1.30597,1.60102,0,0.0017624,0.0017624,0.0017624
8,682.408,1.31465,1.98154,1.51716,1.60426,0,0.7718,0.80196,0.8514,0.54264,0.8322,0.72165,0.81469,0.50681,1.19476,2.07394,1.26712,1.48916,0,0.0017228,0.0017228,0.0017228
9,743.219,1.26818,1.9602,1.42018,1.57696,0,0.76961,0.95876,0.84287,0.57408,0.76961,0.95876,0.84287,0.57228,1.01103,1.67019,1.22664,1.41015,0,0.0016832,0.0016832,0.0016832
10,805.393,1.23529,1.82272,1.35815,1.53081,0,0.95066,0.7732,0.88978,0.60961,0.95066,0.7732,0.88978,0.62996,1.13615,1.40912,1.31067,1.4453,0,0.0016436,0.0016436,0.0016436
11,868.099,1.14876,1.67693,1.28835,1.45092,0,0.94468,0.86598,0.96937,0.68985,0.94847,0.86598,0.96749,0.69974,1.01212,1.29526,0.91264,1.33774,0,0.001604,0.001604,0.001604
