epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,194.154,0.97222,2.00989,2.054,1.2771,0,0.92664,0.83505,0.94448,0.4854,0.95477,0.87056,0.95857,0.63659,1.19855,1.12827,1.99632,1.86708,0,0.00065873,0.00065873,0.00065873
2,380.61,0.92469,1.26995,1.55649,1.22517,0,0.80812,0.85567,0.90826,0.5892,0.82759,0.87629,0.9255,0.66671,1.28136,1.40009,1.4892,1.79229,0,0.00129915,0.00129915,0.00129915
3,572.29,0.99049,1.27768,1.40276,1.26723,0,0.94962,0.92784,0.97551,0.61723,0.94962,0.92784,0.97551,0.73896,1.17675,1.00208,1.20605,1.6375,0,0.00191318,0.00191318,0.00191318
4,757.918,0.96328,1.2018,1.21361,1.24725,0,0.9499,0.97736,0.98484,0.75709,0.93988,0.96705,0.97482,0.78435,0.86369,1.02936,0.97564,1.33671,0,0.0018812,0.0018812,0.0018812
5,936.755,0.89661,1.2257,1.06869,1.19552,0,0.96018,0.99445,0.99058,0.77885,0.96018,0.99445,0.99058,0.80049,0.82968,0.91242,0.75152,1.2592,0,0.0018416,0.0018416,0.0018416
6,1128.76,0.87893,1.15056,1.02587,1.18559,0,0.90818,0.90722,0.95876,0.73224,0.90818,0.90722,0.96651,0.80358,1.18817,0.68924,1.04307,1.59716,0,0.001802,0.001802,0.001802
7,1336.81,0.85026,1.06319,0.94385,1.15451,0,0.90376,0.78351,0.92324,0.71299,0.90376,0.78351,0.92503,0.70706,0.81622,1.22052,0.93399,1.22695,0,0.0017624,0.0017624,0.0017624
8,1534.24,0.79461,1.04867,0.92719,1.13326,0,0.97932,0.97659,0.9822,0.79609,0.97932,0.97659,0.9822,0.84247,0.70279,0.71143,0.72353,1.13809,0,0.0017228,0.0017228,0.0017228
9,1731.88,0.7354,0.98933,0.85879,1.09652,0,0.94136,0.97938,0.98756,0.82658,0.94136,0.97938,0.98756,0.84913,0.69178,0.7593,0.64051,1.21028,0,0.0016832,0.0016832,0.0016832
10,1928.25,0.75165,0.95782,0.85485,1.09818,0,0.93263,0.99898,0.99029,0.86062,0.93263,0.99898,0.99029,0.86857,0.67439,0.70204,0.58774,1.11529,0,0.0016436,0.0016436,0.0016436
11,2122.43,0.70876,0.90116,0.80017,1.07472,0,0.99966,0.98969,0.99036,0.84084,0.99966,0.98969,0.99036,0.87336,0.64239,0.65451,0.67542,1.08418,0,0.001604,0.001604,0.001604
12,2317.61,0.69408,0.93224,0.8134,1.07335,0,0.96477,0.96907,0.98343,0.84238,0.96477,0.96907,0.98343,0.84484,0.58729,0.78832,0.58428,1.05485,0,0.0015644,0.0015644,0.0015644
13,2511.37,0.68006,0.88398,0.79928,1.06544,0,0.97932,0.97652,0.99269,0.83534,0.97932,0.97652,0.99269,0.87294,0.63258,0.65057,0.52918,1.11037,0,0.0015248,0.0015248,0.0015248
14,2705.47,0.68678,0.90314,0.79185,1.06752,0,0.95742,1,0.99359,0.84335,0.94755,0.98969,0.99093,0.85578,0.68635,0.69253,0.48797,1.12363,0,0.0014852,0.0014852,0.0014852
15,2899.35,0.67531,0.84819,0.79796,1.06261,0,0.95922,0.96991,0.98916,0.83576,0.9744,0.97938,0.99107,0.86354,0.57814,0.5755,0.54394,1.07434,0,0.0014456,0.0014456,0.0014456
16,3096.1,0.64348,0.79618,0.76078,1.04019,0,0.98727,1,0.99408,0.84012,0.98727,1,0.99408,0.87063,0.62238,0.66923,0.50922,1.08461,0,0.001406,0.001406,0.001406
17,3290.72,0.63029,0.81913,0.70945,1.02499,0,0.97644,0.98969,0.99398,0.85208,0.96011,1,0.99272,0.87836,0.62884,0.62106,0.51357,1.09233,0,0.0013664,0.0013664,0.0013664
18,3482.67,0.63722,0.81292,0.74538,1.03624,0,0.99206,0.97938,0.99178,0.83113,0.99206,0.97938,0.99178,0.88715,0.74526,0.62222,0.58373,1.11709,0,0.0013268,0.0013268,0.0013268
19,3679.78,0.63167,0.79899,0.72737,1.03274,0,0.99566,0.98969,0.9949,0.87713,0.99566,0.98969,0.9949,0.89882,0.55804,0.601,0.43202,1.02662,0,0.0012872,0.0012872,0.0012872
20,3874.57,0.60167,0.78709,0.70477,1.01364,0,0.98837,1,0.99408,0.89427,0.98837,1,0.99408,0.91558,0.5161,0.556,0.43235,0.98773,0,0.0012476,0.0012476,0.0012476
21,4068.33,0.55038,0.73631,0.65346,0.99362,0,0.99909,1,0.995,0.89551,0.99909,1,0.995,0.9098,0.49494,0.56289,0.38809,0.97543,0,0.001208,0.001208,0.001208
22,4263.57,0.58365,0.8183,0.72135,1.00564,0,0.95984,0.98566,0.98345,0.86148,0.95984,0.98566,0.98345,0.87802,0.53785,0.67098,0.519,1.01298,0,0.0011684,0.0011684,0.0011684
23,4459.09,0.58811,0.7704,0.70028,1.01704,0,0.99915,0.98969,0.99224,0.84105,0.98871,0.97938,0.98161,0.86613,0.59292,0.62749,0.45968,1.08709,0,0.0011288,0.0011288,0.0011288
24,4651.29,0.57923,0.74189,0.67392,1.00314,0,0.99555,0.98969,0.99183,0.88113,0.99555,0.98969,0.99183,0.89772,0.49576,0.5913,0.44114,0.98837,0,0.0010892,0.0010892,0.0010892
25,4848.23,0.56489,0.72782,0.66728,1.00528,0,0.98979,0.99903,0.9949,0.88125,0.98979,0.99903,0.9949,0.89687,0.51418,0.54956,0.40073,1.01349,0,0.0010496,0.0010496,0.0010496
26,5045.03,0.53772,0.71282,0.67862,0.98924,0,0.98788,0.98969,0.99469,0.88887,0.96693,0.98969,0.98412,0.89972,0.53975,0.57085,0.40691,1.02162,0,0.00101,0.00101,0.00101
27,5236.98,0.51765,0.67955,0.65354,0.97812,0,0.96868,1,0.99355,0.89561,0.96868,1,0.99355,0.89535,0.48056,0.68831,0.41525,1.00082,0,0.0009704,0.0009704,0.0009704
28,5433.2,0.52266,0.6877,0.66297,0.97662,0,0.98854,1,0.9949,0.90532,0.98854,1,0.9949,0.90831,0.46401,0.56859,0.38763,0.96061,0,0.0009308,0.0009308,0.0009308
29,5631.69,0.52039,0.6824,0.69868,0.98335,0,0.99955,1,0.995,0.89212,0.99955,1,0.995,0.90937,0.46341,0.59569,0.42714,0.97886,0,0.0008912,0.0008912,0.0008912
30,5829.17,0.50838,0.65969,0.66077,0.97213,0,0.99755,0.96907,0.99031,0.89763,0.99755,0.96907,0.99031,0.90367,0.49517,0.61643,0.43465,0.96275,0,0.0008516,0.0008516,0.0008516
31,6025.01,0.49119,0.59892,0.65947,0.96828,0,0.96952,0.98389,0.99172,0.88326,0.96952,0.98389,0.99172,0.89565,0.4963,0.62578,0.49578,0.99071,0,0.000812,0.000812,0.000812
32,6220.11,0.49186,0.66323,0.6387,0.97253,0,0.9966,1,0.995,0.91095,0.9966,1,0.995,0.91835,0.4649,0.55953,0.3563,0.96744,0,0.0007724,0.0007724,0.0007724
33,6410.71,0.48473,0.63855,0.64987,0.96647,0,0.9969,0.98969,0.9939,0.90047,0.9969,0.98969,0.9939,0.91231,0.4691,0.583,0.41628,0.97224,0,0.0007328,0.0007328,0.0007328
34,6604.96,0.49823,0.66033,0.61734,0.97632,0,0.98914,0.98969,0.9946,0.89768,0.98914,0.98969,0.9946,0.92302,0.47362,0.54158,0.42217,0.96727,0,0.0006932,0.0006932,0.0006932
35,6798.72,0.46664,0.60981,0.61078,0.95254,0,0.98636,0.97938,0.99102,0.91854,0.98636,0.97938,0.99102,0.91853,0.46591,0.60526,0.41127,0.98236,0,0.0006536,0.0006536,0.0006536
